,PK,ON_ID,PR_ID,CU_ID,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,DEALSIZE
0,10107_2,ON1,ON1,CU1,10107,30,95.7,2,2871.0,Shipped,Small
1,10121_5,ON2,ON1,CU2,10121,34,81.35000000000001,5,2765.9,Shipped,Small
2,10134_2,ON3,ON1,CU3,10134,41,94.74000000000001,2,3884.34,Shipped,Medium
3,10145_6,ON4,ON1,CU4,10145,45,83.25999999999999,6,3746.7,Shipped,Medium
4,10159_14,ON5,ON1,CU5,10159,49,106.23,14,5205.27,Shipped,Medium
5,10168_1,ON6,ON1,CU6,10168,36,96.66000000000001,1,3479.76,Shipped,Medium
6,10180_9,ON7,ON1,CU7,10180,29,86.13,9,2497.77,Shipped,Small
7,10188_1,ON8,ON1,CU8,10188,48,114.83999999999999,1,5512.32,Shipped,Medium
8,10201_2,ON9,ON1,CU9,10201,22,98.57,2,2168.54,Shipped,Small
9,10211_14,ON10,ON1,CU10,10211,41,114.83999999999999,14,4708.44,Shipped,Medium
10,10223_1,ON11,ON1,CU11,10223,37,107.17999999999999,1,3965.66,Shipped,Medium
11,10237_7,ON12,ON1,CU12,10237,23,101.44,7,2333.12,Shipped,Small
12,10251_2,ON13,ON1,CU13,10251,28,113.88,2,3188.64,Shipped,Medium
13,10263_2,ON14,ON1,CU14,10263,34,108.14,2,3676.76,Shipped,Medium
14,10275_1,ON15,ON1,CU15,10275,45,92.83000000000001,1,4177.35,Shipped,Medium
15,10285_6,ON16,ON1,CU16,10285,36,113.88000000000001,6,4099.68,Shipped,Medium
16,10299_9,ON17,ON1,CU17,10299,23,112.92999999999999,9,2597.39,Shipped,Small
17,10309_5,ON18,ON1,CU18,10309,41,107.18,5,4394.38,Shipped,Medium
18,10318_1,ON19,ON1,CU19,10318,46,94.74,1,4358.04,Shipped,Medium
19,10329_1,ON20,ON1,CU1,10329,42,104.67,1,4396.14,Shipped,Medium
20,10341_9,ON21,ON1,CU20,10341,41,188.73000000000002,9,7737.93,Shipped,Large
21,10361_13,ON22,ON1,CU21,10361,20,72.55,13,1451.0,Shipped,Small
22,10375_12,ON23,ON1,CU15,10375,21,34.910000000000004,12,733.11,Shipped,Small
23,10388_4,ON24,ON1,CU22,10388,42,76.36,4,3207.12,Shipped,Medium
24,10403_7,ON25,ON1,CU23,10403,24,101.44,7,2434.56,Shipped,Small
25,10417_2,ON26,ON1,CU24,10417,66,113.88,2,7516.08,Disputed,Large
26,10103_11,ON27,ON2,CU18,10103,26,207.87,11,5404.62,Shipped,Medium
27,10112_1,ON28,ON2,CU25,10112,29,248.58999999999997,1,7209.11,Shipped,Large
28,10126_11,ON29,ON2,CU26,10126,38,192.87,11,7329.06,Shipped,Large
29,10140_11,ON30,ON2,CU6,10140,37,199.3,11,7374.1,Shipped,Large
30,10150_8,ON31,ON2,CU27,10150,45,244.3,8,10993.5,Shipped,Large
31,10163_1,ON32,ON2,CU28,10163,21,231.44,1,4860.24,Shipped,Medium
32,10174_4,ON33,ON2,CU29,10174,34,235.73,4,8014.82,Shipped,Large
33,10183_8,ON34,ON2,CU30,10183,23,233.58999999999997,8,5372.57,Shipped,Medium
34,10194_11,ON35,ON2,CU31,10194,42,173.57999999999998,11,7290.36,Shipped,Large
35,10206_6,ON36,ON2,CU32,10206,47,192.86999999999998,6,9064.89,Shipped,Large
36,10215_3,ON37,ON2,CU33,10215,35,173.58,3,6075.3,Shipped,Medium
